perp,line,slide,sex,fly,pcvl ,acvl ,log vein loss ,extra vein
KP,ef96,1,m,13,0,0,0,0
KP,ef96,1,m,14,0,0,0,0
KP,ef96,1,m,15,0,0,0,0
KP,ef96,1,m,16,0,0,0,0
KP,ef96,1,m,17,0,0,0,0
KP,ef96,1,m,18,0,0,0,0
KP,ef96,1,m,19,0,0,0,0
KP,ef96,1,m,20,0,0,0,0
KP,ef96,2,f,1,0,0,0,0
KP,ef96,2,f,2,0,0,0,0
KP,ef96,2,f,3,0,0,0,0
KP,ef96,2,f,4,0,0,0,1
KP,ef96,2,f,5,0,0,0,0
KP,ef96,2,f,6,0,0,0,0
KP,ef96,2,f,7,0,0,0,0
KP,ef96,2,f,8,0,0,0,0
KP,ef96,2,f,9,0,0,0,0
KP,ef96,2,f,10,0,0,0,0
KP,ef96,2,f,11,0,0,0,0
KP,ef96,2,f,12,0,0,0,0
KP,ef96,2,f,13,0,0,0,0
KP,ef96,2,f,14,0,0,0,0
KP,ef96,2,f,15,0,0,0,0
KP,ef96,2,f,16,0,0,0,0
KP,ef96,2,f,17,0,0,0,0
KP,ef96,2,f,18,0,0,0,0
KP,ef96,2,f,20,0,0,0,0
KP,ef96,2,f,19,0,0,0,0
KP,ef96,2,m,1,0,0,0,0
KP,ef96,2,m,2,0,0,0,0
