"","sex","cross","log_area_z.trend","SE","df","asymp.LCL","asymp.UCL"
"1","f","zi251xef43",0.0290097588705436,0.0219722005663791,Inf,-0.01405496290065,0.0720744806417371
"2","m","zi251xef43",0.0760004631519777,0.0301733810663847,Inf,0.0168617229700609,0.135139203333895
"3","f","Zi418Ef43",0.00191824962345777,0.0388205214404644,Inf,-0.0741685742609174,0.0780050735078329
"4","m","Zi418Ef43",0.0749256303068222,0.0457933218072835,Inf,-0.014827631167906,0.16467889178155
