wingRegion,Image,tricomeCount
11,KP_EF_R1_06.tif,74
12,KP_EF_R1_06.tif,71
13,KP_EF_R1_06.tif,90
14,KP_EF_R1_06.tif,65
15,KP_EF_R1_06.tif,66
16,KP_EF_R1_06.tif,72
1,KP_EF_R1_15.tif,58
2,KP_EF_R1_15.tif,64
3,KP_EF_R1_15.tif,72
4,KP_EF_R1_15.tif,64
5,KP_EF_R1_15.tif,63
6,KP_EF_R1_15.tif,56
7,KP_EF_R1_15.tif,66
8,KP_EF_R1_15.tif,77
9,KP_EF_R1_15.tif,85
10,KP_EF_R1_15.tif,84
11,KP_EF_R1_15.tif,76
12,KP_EF_R1_15.tif,73
13,KP_EF_R1_15.tif,86
14,KP_EF_R1_15.tif,66
15,KP_EF_R1_15.tif,59
16,KP_EF_R1_15.tif,73
1,KP_EF_R1_13.tif,58
2,KP_EF_R1_13.tif,69
3,KP_EF_R1_13.tif,75
4,KP_EF_R1_13.tif,63
5,KP_EF_R1_13.tif,71
6,KP_EF_R1_13.tif,66
7,KP_EF_R1_13.tif,67
8,KP_EF_R1_13.tif,72
9,KP_EF_R1_13.tif,76
10,KP_EF_R1_13.tif,75
11,KP_EF_R1_13.tif,70
12,KP_EF_R1_13.tif,78
13,KP_EF_R1_13.tif,85
14,KP_EF_R1_13.tif,71
15,KP_EF_R1_13.tif,68
16,KP_EF_R1_13.tif,73
1,KP_EF_R1_12.tif,60
2,KP_EF_R1_12.tif,58
3,KP_EF_R1_12.tif,68
4,KP_EF_R1_12.tif,68
5,KP_EF_R1_12.tif,86
6,KP_EF_R1_12.tif,56
7,KP_EF_R1_12.tif,71
8,KP_EF_R1_12.tif,75
9,KP_EF_R1_12.tif,80
10,KP_EF_R1_12.tif,82
11,KP_EF_R1_12.tif,55
12,KP_EF_R1_12.tif,72
13,KP_EF_R1_12.tif,83
14,KP_EF_R1_12.tif,56
15,KP_EF_R1_12.tif,72
16,KP_EF_R1_12.tif,73
1,KP_EF_R1_14.tif,53
2,KP_EF_R1_14.tif,68
3,KP_EF_R1_14.tif,70
4,KP_EF_R1_14.tif,60
5,KP_EF_R1_14.tif,83
6,KP_EF_R1_14.tif,64
7,KP_EF_R1_14.tif,75
8,KP_EF_R1_14.tif,82
9,KP_EF_R1_14.tif,80
10,KP_EF_R1_14.tif,72
11,KP_EF_R1_14.tif,73
12,KP_EF_R1_14.tif,75
13,KP_EF_R1_14.tif,84
14,KP_EF_R1_14.tif,63
15,KP_EF_R1_14.tif,63
16,KP_EF_R1_14.tif,67
1,KP_EF_R1_11.tif,64
2,KP_EF_R1_11.tif,55
3,KP_EF_R1_11.tif,71
4,KP_EF_R1_11.tif,71
5,KP_EF_R1_11.tif,63
6,KP_EF_R1_11.tif,63
7,KP_EF_R1_11.tif,72
8,KP_EF_R1_11.tif,79
9,KP_EF_R1_11.tif,94
10,KP_EF_R1_11.tif,83
11,KP_EF_R1_11.tif,54
12,KP_EF_R1_11.tif,65
13,KP_EF_R1_11.tif,88
14,KP_EF_R1_11.tif,71
15,KP_EF_R1_11.tif,62
16,KP_EF_R1_11.tif,74
1,KP_EF_R1_17.tif,69
2,KP_EF_R1_17.tif,69
3,KP_EF_R1_17.tif,75
4,KP_EF_R1_17.tif,75
5,KP_EF_R1_17.tif,78
6,KP_EF_R1_17.tif,54
7,KP_EF_R1_17.tif,61
8,KP_EF_R1_17.tif,75
9,KP_EF_R1_17.tif,72
10,KP_EF_R1_17.tif,81
11,KP_EF_R1_17.tif,75
12,KP_EF_R1_17.tif,71
13,KP_EF_R1_17.tif,83
14,KP_EF_R1_17.tif,71
15,KP_EF_R1_17.tif,65
16,KP_EF_R1_17.tif,60
1,KP_EF_R1_16.tif,49
2,KP_EF_R1_16.tif,67
3,KP_EF_R1_16.tif,73
4,KP_EF_R1_16.tif,62
5,KP_EF_R1_16.tif,80
6,KP_EF_R1_16.tif,56
7,KP_EF_R1_16.tif,66
8,KP_EF_R1_16.tif,69
9,KP_EF_R1_16.tif,72
10,KP_EF_R1_16.tif,70
11,KP_EF_R1_16.tif,59
12,KP_EF_R1_16.tif,64
