1,KP_EF81_1_F_05.tif,2.152,255,255,255
2,KP_EF81_1_F_07.tif,2.197,255,255,255
3,KP_EF81_1_F_11.tif,2.277,255,255,255
4,KP_EF81_2_F_19.tif,2.141,255,255,255
5,KP_EF96_1_M_09.tif,1.958,255,255,255
6,KP_EF96_1_M_10.tif,2.072,255,255,255
7,KP_EF96_1_M_20.tif,2.065,255,255,255
8,KP_EF96_2_F_06.tif,2.608,255,255,255
9,KP_EF96_2_F_15.tif,2.635,255,255,255
10,KP_EF96_2_M_13.tif,2.075,255,255,255
11,KP_EF96_3_F_20.tif,2.582,255,255,255
1,KP_EF81_2_F_20.tif,2.369,255,255,255
2,KP_EF81_3_F_08.tif,2.182,255,255,255
3,KP_EF81_3_F_11.tif,2.179,255,255,255
4,KP_EF96_1_M_07.tif,2.36,255,255,255
5,KP_EF96_2_F_09.tif,2.706,255,255,255
6,KP_EF96_2_F_11.tif,2.698,255,255,255
7,KP_EF96_2_M_05.tif,1.971,255,255,255
8,KP_EF96_2_M_06.tif,1.977,255,255,255
9,KP_EF96_3_F_05.tif,2.635,255,255,255
10,KP_EF96_3_M_18.tif,2.144,255,255,255
